Grievance Title,Brief Summary,Category,Department,Detailed Description,Location / Ward No,Priority Level,Attachment Name,Internal Notes,Date Submitted,Status
"Water Supply Issue at Ward 3, Central Zone - 114","Complaint regarding water supply in Ward 3, Central Zone.",Water Supply,Municipal Corporation,"Low pressure water being received at Ward 3, Central Zone.","Ward 3, Central Zone",High,None,Assigned to Municipal Corporation team.,2025-03-07,In Progress
"Street Lighting Issue at Garden City, Phase 1 - 770","Complaint regarding street lighting in Garden City, Phase 1.",Street Lighting,Electricity Board,"Dark spots on the road due to non-functional lights in Garden City, Phase 1.","Garden City, Phase 1",Low,None,Assigned to Electricity Board team.,2025-05-09,Escalated
"Street Lighting Issue at Garden City, Phase 3 - 640","Complaint regarding street lighting in Garden City, Phase 3.",Street Lighting,Electricity Board,"Street lights not working for 34 nights in Garden City, Phase 3.","Garden City, Phase 3",Urgent,None,Assigned to Electricity Board team.,2025-08-14,New
"Street Lighting Issue at Sector 11, Heritage Colony - 217","Complaint regarding street lighting in Sector 11, Heritage Colony.",Street Lighting,Electricity Board,"New street light poles installed but not connected in Sector 11, Heritage Colony.","Sector 11, Heritage Colony",Low,None,Assigned to Electricity Board team.,2025-07-30,Escalated
"Education Issue at Ward 3, Central Zone - 976","Complaint regarding education in Ward 3, Central Zone.",Education,Education Department,"Shortage of teaching staff for 22 semesters in Ward 3, Central Zone.","Ward 3, Central Zone",Low,None,Assigned to Education Department team.,2025-04-16,New
"Street Lighting Issue at Garden City, Phase 5 - 740","Complaint regarding street lighting in Garden City, Phase 5.",Street Lighting,Municipal Corporation,"Flickering street light causing disturbance in Garden City, Phase 5.","Garden City, Phase 5",High,None,Assigned to Municipal Corporation team.,2025-04-18,Resolved
"Water Supply Issue at Sector 15, Heritage Colony - 629","Complaint regarding water supply in Sector 15, Heritage Colony.",Water Supply,Public Works Department (PWD),"Low pressure water being received at Sector 15, Heritage Colony.","Sector 15, Heritage Colony",Medium,None,Assigned to Public Works Department (PWD) team.,2026-02-15,Resolved
"Electricity Issue at Sector 10, Heritage Colony - 321","Complaint regarding electricity in Sector 10, Heritage Colony.",Electricity,Urban Development Authority,"High voltage fluctuations causing damage to appliances in Sector 10, Heritage Colony.","Sector 10, Heritage Colony",High,None,Assigned to Urban Development Authority team.,2025-11-08,New
"Healthcare Issue at Sector 12, Heritage Colony - 340","Complaint regarding healthcare in Sector 12, Heritage Colony.",Healthcare,Municipal Corporation,"Government clinic in Sector 12, Heritage Colony lacks basic medicines.","Sector 12, Heritage Colony",Medium,evidence_284.jpg,Assigned to Municipal Corporation team.,2025-06-05,New
"Water Supply Issue at Ward 10, Central Zone - 311","Complaint regarding water supply in Ward 10, Central Zone.",Water Supply,Municipal Corporation,"No water supply for the last 26 days in Ward 10, Central Zone.","Ward 10, Central Zone",Low,None,Assigned to Municipal Corporation team.,2025-05-18,New
"Healthcare Issue at Ward 6, Central Zone - 492","Complaint regarding healthcare in Ward 6, Central Zone.",Healthcare,Health & Family Welfare,"Unsanitary conditions in the ward area of Ward 6, Central Zone hospital.","Ward 6, Central Zone",Medium,None,Assigned to Health & Family Welfare team.,2025-11-12,Escalated
"Public Safety Issue at Garden City, Phase 4 - 361","Complaint regarding public safety in Garden City, Phase 4.",Public Safety,Municipal Corporation,"Increase in petty thefts reported in Garden City, Phase 4 after 9 PM.","Garden City, Phase 4",Urgent,None,Assigned to Municipal Corporation team.,2025-06-30,New
"Sanitation Issue at Sector 18, Heritage Colony - 960","Complaint regarding sanitation in Sector 18, Heritage Colony.",Sanitation,Municipal Corporation,"Illegal dumping of construction waste in Sector 18, Heritage Colony.","Sector 18, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2025-11-19,Resolved
"Roads & Infrastructure Issue at Sector 17, Heritage Colony - 213","Complaint regarding roads & infrastructure in Sector 17, Heritage Colony.",Roads & Infrastructure,Public Works Department (PWD),"Illegal speed breaker installed at Sector 17, Heritage Colony.","Sector 17, Heritage Colony",Low,evidence_289.jpg,Assigned to Public Works Department (PWD) team.,2025-05-18,In Progress
"Waste Management Issue at Ward 7, Central Zone - 898","Complaint regarding waste management in Ward 7, Central Zone.",Waste Management,Sanitation Department,"Garbage collection truck hasn't visited Ward 7, Central Zone for a week.","Ward 7, Central Zone",High,None,Assigned to Sanitation Department team.,2025-07-16,New
"Healthcare Issue at Sector 11, Heritage Colony - 272","Complaint regarding healthcare in Sector 11, Heritage Colony.",Healthcare,Health & Family Welfare,"Long waiting hours and no doctors available in Sector 11, Heritage Colony PHC.","Sector 11, Heritage Colony",Medium,None,Assigned to Health & Family Welfare team.,2025-12-23,New
"Healthcare Issue at Sector 15, Heritage Colony - 468","Complaint regarding healthcare in Sector 15, Heritage Colony.",Healthcare,Municipal Corporation,"Long waiting hours and no doctors available in Sector 15, Heritage Colony PHC.","Sector 15, Heritage Colony",High,None,Assigned to Municipal Corporation team.,2025-05-18,In Progress
"Public Safety Issue at Garden City, Phase 3 - 400","Complaint regarding public safety in Garden City, Phase 3.",Public Safety,Municipal Corporation,"Illegal parking blocking emergency exits in Garden City, Phase 3.","Garden City, Phase 3",Low,None,Assigned to Municipal Corporation team.,2025-11-05,Escalated
"Healthcare Issue at Sector 12, Heritage Colony - 785","Complaint regarding healthcare in Sector 12, Heritage Colony.",Healthcare,Health & Family Welfare,"Government clinic in Sector 12, Heritage Colony lacks basic medicines.","Sector 12, Heritage Colony",Medium,None,Assigned to Health & Family Welfare team.,2025-10-16,In Progress
"Roads & Infrastructure Issue at Sector 12, Heritage Colony - 523","Complaint regarding roads & infrastructure in Sector 12, Heritage Colony.",Roads & Infrastructure,Public Works Department (PWD),"Street pavement broken near Sector 12, Heritage Colony.","Sector 12, Heritage Colony",Medium,evidence_295.jpg,Assigned to Public Works Department (PWD) team.,2025-12-08,New
"Public Safety Issue at Garden City, Phase 1 - 716","Complaint regarding public safety in Garden City, Phase 1.",Public Safety,Municipal Corporation,"Stray animal menace in the parks of Garden City, Phase 1.","Garden City, Phase 1",High,None,Assigned to Municipal Corporation team.,2026-02-15,In Progress
"Electricity Issue at Sector 11, Heritage Colony - 664","Complaint regarding electricity in Sector 11, Heritage Colony.",Electricity,Electricity Board,"High voltage fluctuations causing damage to appliances in Sector 11, Heritage Colony.","Sector 11, Heritage Colony",Low,None,Assigned to Electricity Board team.,2025-07-19,Escalated
"Roads & Infrastructure Issue at Ward 10, Central Zone - 183","Complaint regarding roads & infrastructure in Ward 10, Central Zone.",Roads & Infrastructure,Urban Development Authority,"Major potholes on the main road of Ward 10, Central Zone.","Ward 10, Central Zone",Low,None,Assigned to Urban Development Authority team.,2025-08-02,New
"Water Supply Issue at Sector 17, Heritage Colony - 940","Complaint regarding water supply in Sector 17, Heritage Colony.",Water Supply,Municipal Corporation,"Contaminated water with foul smell reported at Sector 17, Heritage Colony.","Sector 17, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2025-07-15,In Progress
"Public Safety Issue at Ward 5, Central Zone - 975","Complaint regarding public safety in Ward 5, Central Zone.",Public Safety,Police Department,"Lack of police patrolling observed during night in Ward 5, Central Zone.","Ward 5, Central Zone",Medium,None,Assigned to Police Department team.,2025-07-08,Resolved
"Healthcare Issue at Sector 10, Heritage Colony - 980","Complaint regarding healthcare in Sector 10, Heritage Colony.",Healthcare,Municipal Corporation,"Long waiting hours and no doctors available in Sector 10, Heritage Colony PHC.","Sector 10, Heritage Colony",Low,None,Assigned to Municipal Corporation team.,2025-05-22,Resolved
"Roads & Infrastructure Issue at Ward 4, Central Zone - 879","Complaint regarding roads & infrastructure in Ward 4, Central Zone.",Roads & Infrastructure,Urban Development Authority,"Street pavement broken near Ward 4, Central Zone.","Ward 4, Central Zone",Medium,None,Assigned to Urban Development Authority team.,2025-07-14,New
"Drainage Issue at Garden City, Phase 4 - 320","Complaint regarding drainage in Garden City, Phase 4.",Drainage,Municipal Corporation,"Stinking smell from the open drain in Garden City, Phase 4.","Garden City, Phase 4",Medium,evidence_303.jpg,Assigned to Municipal Corporation team.,2025-10-15,Resolved
"Waste Management Issue at Sector 17, Heritage Colony - 855","Complaint regarding waste management in Sector 17, Heritage Colony.",Waste Management,Sanitation Department,"Biomedical waste found dumped in the residential area of Sector 17, Heritage Colony.","Sector 17, Heritage Colony",Medium,None,Assigned to Sanitation Department team.,2025-08-20,Resolved
"Electricity Issue at Garden City, Phase 3 - 662","Complaint regarding electricity in Garden City, Phase 3.",Electricity,Urban Development Authority,"High voltage fluctuations causing damage to appliances in Garden City, Phase 3.","Garden City, Phase 3",High,None,Assigned to Urban Development Authority team.,2025-12-11,In Progress
"Electricity Issue at Ward 7, Central Zone - 837","Complaint regarding electricity in Ward 7, Central Zone.",Electricity,Electricity Board,"Frequent power cuts without notice in Ward 7, Central Zone.","Ward 7, Central Zone",Low,evidence_306.jpg,Assigned to Electricity Board team.,2025-03-09,New
"Roads & Infrastructure Issue at Garden City, Phase 1 - 830","Complaint regarding roads & infrastructure in Garden City, Phase 1.",Roads & Infrastructure,Public Works Department (PWD),"Road construction halted for 3 months in Garden City, Phase 1.","Garden City, Phase 1",High,None,Assigned to Public Works Department (PWD) team.,2025-11-07,In Progress
"Healthcare Issue at Ward 4, Central Zone - 710","Complaint regarding healthcare in Ward 4, Central Zone.",Healthcare,Health & Family Welfare,"Emergency ambulance delayed by 32 hours for Ward 4, Central Zone.","Ward 4, Central Zone",Medium,None,Assigned to Health & Family Welfare team.,2025-09-10,New
"Drainage Issue at Sector 17, Heritage Colony - 812","Complaint regarding drainage in Sector 17, Heritage Colony.",Drainage,Public Works Department (PWD),"Main drain choked with plastic waste near Sector 17, Heritage Colony.","Sector 17, Heritage Colony",Urgent,None,Assigned to Public Works Department (PWD) team.,2025-12-27,Escalated
"Street Lighting Issue at Ward 10, Central Zone - 556","Complaint regarding street lighting in Ward 10, Central Zone.",Street Lighting,Electricity Board,"Street lights not working for 22 nights in Ward 10, Central Zone.","Ward 10, Central Zone",Urgent,evidence_310.jpg,Assigned to Electricity Board team.,2025-09-21,New
"Electricity Issue at Ward 1, Central Zone - 467","Complaint regarding electricity in Ward 1, Central Zone.",Electricity,Urban Development Authority,"High voltage fluctuations causing damage to appliances in Ward 1, Central Zone.","Ward 1, Central Zone",Urgent,None,Assigned to Urban Development Authority team.,2025-12-07,Escalated
"Drainage Issue at Garden City, Phase 1 - 139","Complaint regarding drainage in Garden City, Phase 1.",Drainage,Public Works Department (PWD),"Monsoon preparation for cleaning drains not started in Garden City, Phase 1.","Garden City, Phase 1",High,None,Assigned to Public Works Department (PWD) team.,2025-08-28,Resolved
"Electricity Issue at Ward 2, Central Zone - 748","Complaint regarding electricity in Ward 2, Central Zone.",Electricity,Electricity Board,"Frequent power cuts without notice in Ward 2, Central Zone.","Ward 2, Central Zone",Urgent,None,Assigned to Electricity Board team.,2026-01-27,In Progress
"Waste Management Issue at Ward 9, Central Zone - 122","Complaint regarding waste management in Ward 9, Central Zone.",Waste Management,Municipal Corporation,"Biomedical waste found dumped in the residential area of Ward 9, Central Zone.","Ward 9, Central Zone",Urgent,evidence_314.jpg,Assigned to Municipal Corporation team.,2025-12-03,In Progress
"Education Issue at Ward 1, Central Zone - 377","Complaint regarding education in Ward 1, Central Zone.",Education,Urban Development Authority,"School building in Ward 1, Central Zone needs urgent structural repairs.","Ward 1, Central Zone",Urgent,evidence_315.jpg,Assigned to Urban Development Authority team.,2025-03-07,New
"Drainage Issue at Sector 16, Heritage Colony - 559","Complaint regarding drainage in Sector 16, Heritage Colony.",Drainage,Municipal Corporation,"Monsoon preparation for cleaning drains not started in Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2025-12-08,New
"Electricity Issue at Sector 18, Heritage Colony - 264","Complaint regarding electricity in Sector 18, Heritage Colony.",Electricity,Electricity Board,"Electricity bill incorrectly calculated for Sector 18, Heritage Colony.","Sector 18, Heritage Colony",Urgent,evidence_317.jpg,Assigned to Electricity Board team.,2026-01-19,Resolved
"Healthcare Issue at Garden City, Phase 4 - 893","Complaint regarding healthcare in Garden City, Phase 4.",Healthcare,Municipal Corporation,"Long waiting hours and no doctors available in Garden City, Phase 4 PHC.","Garden City, Phase 4",Low,None,Assigned to Municipal Corporation team.,2025-10-11,In Progress
"Public Safety Issue at Sector 17, Heritage Colony - 127","Complaint regarding public safety in Sector 17, Heritage Colony.",Public Safety,Municipal Corporation,"Illegal parking blocking emergency exits in Sector 17, Heritage Colony.","Sector 17, Heritage Colony",High,evidence_319.jpg,Assigned to Municipal Corporation team.,2025-06-18,New
"Water Supply Issue at Sector 17, Heritage Colony - 385","Complaint regarding water supply in Sector 17, Heritage Colony.",Water Supply,Municipal Corporation,"Contaminated water with foul smell reported at Sector 17, Heritage Colony.","Sector 17, Heritage Colony",Urgent,None,Assigned to Municipal Corporation team.,2025-09-02,Resolved
"Healthcare Issue at Garden City, Phase 3 - 623","Complaint regarding healthcare in Garden City, Phase 3.",Healthcare,Health & Family Welfare,"Unsanitary conditions in the ward area of Garden City, Phase 3 hospital.","Garden City, Phase 3",High,None,Assigned to Health & Family Welfare team.,2025-06-15,New
"Electricity Issue at Sector 14, Heritage Colony - 804","Complaint regarding electricity in Sector 14, Heritage Colony.",Electricity,Urban Development Authority,"High voltage fluctuations causing damage to appliances in Sector 14, Heritage Colony.","Sector 14, Heritage Colony",Low,None,Assigned to Urban Development Authority team.,2025-08-13,New
"Sanitation Issue at Sector 10, Heritage Colony - 441","Complaint regarding sanitation in Sector 10, Heritage Colony.",Sanitation,Health & Family Welfare,"Drainage blockage causing water logging in Sector 10, Heritage Colony.","Sector 10, Heritage Colony",Medium,None,Assigned to Health & Family Welfare team.,2025-03-23,In Progress
"Healthcare Issue at Ward 8, Central Zone - 160","Complaint regarding healthcare in Ward 8, Central Zone.",Healthcare,Municipal Corporation,"Long waiting hours and no doctors available in Ward 8, Central Zone PHC.","Ward 8, Central Zone",Urgent,None,Assigned to Municipal Corporation team.,2025-11-13,New
"Electricity Issue at Sector 18, Heritage Colony - 566","Complaint regarding electricity in Sector 18, Heritage Colony.",Electricity,Electricity Board,"Street pole spark observed near Sector 18, Heritage Colony.","Sector 18, Heritage Colony",Medium,evidence_325.jpg,Assigned to Electricity Board team.,2025-12-18,In Progress
"Education Issue at Garden City, Phase 4 - 929","Complaint regarding education in Garden City, Phase 4.",Education,Education Department,"Illegal encroachments near the playground of Garden City, Phase 4 school.","Garden City, Phase 4",Low,None,Assigned to Education Department team.,2025-07-14,New
"Healthcare Issue at Garden City, Phase 2 - 483","Complaint regarding healthcare in Garden City, Phase 2.",Healthcare,Health & Family Welfare,"Unsanitary conditions in the ward area of Garden City, Phase 2 hospital.","Garden City, Phase 2",High,None,Assigned to Health & Family Welfare team.,2025-08-07,In Progress
"Roads & Infrastructure Issue at Ward 10, Central Zone - 182","Complaint regarding roads & infrastructure in Ward 10, Central Zone.",Roads & Infrastructure,Urban Development Authority,"Major potholes on the main road of Ward 10, Central Zone.","Ward 10, Central Zone",Urgent,None,Assigned to Urban Development Authority team.,2026-02-05,Resolved
"Waste Management Issue at Garden City, Phase 1 - 368","Complaint regarding waste management in Garden City, Phase 1.",Waste Management,Sanitation Department,"Open garbage bin overflowing and spreading disease in Garden City, Phase 1.","Garden City, Phase 1",Low,evidence_329.jpg,Assigned to Sanitation Department team.,2025-04-07,Escalated
"Waste Management Issue at Sector 17, Heritage Colony - 225","Complaint regarding waste management in Sector 17, Heritage Colony.",Waste Management,Municipal Corporation,"Biomedical waste found dumped in the residential area of Sector 17, Heritage Colony.","Sector 17, Heritage Colony",Low,None,Assigned to Municipal Corporation team.,2025-05-19,New
"Public Safety Issue at Ward 3, Central Zone - 140","Complaint regarding public safety in Ward 3, Central Zone.",Public Safety,Police Department,"Increase in petty thefts reported in Ward 3, Central Zone after 9 PM.","Ward 3, Central Zone",Low,evidence_331.jpg,Assigned to Police Department team.,2026-02-22,New
"Water Supply Issue at Garden City, Phase 3 - 705","Complaint regarding water supply in Garden City, Phase 3.",Water Supply,Public Works Department (PWD),"Continuous leakage in the main pipeline near Garden City, Phase 3.","Garden City, Phase 3",Urgent,None,Assigned to Public Works Department (PWD) team.,2025-04-12,In Progress
"Education Issue at Ward 9, Central Zone - 439","Complaint regarding education in Ward 9, Central Zone.",Education,Urban Development Authority,"Illegal encroachments near the playground of Ward 9, Central Zone school.","Ward 9, Central Zone",Urgent,None,Assigned to Urban Development Authority team.,2025-06-19,Escalated
"Education Issue at Sector 13, Heritage Colony - 416","Complaint regarding education in Sector 13, Heritage Colony.",Education,Urban Development Authority,"Shortage of teaching staff for 57 semesters in Sector 13, Heritage Colony.","Sector 13, Heritage Colony",Medium,evidence_334.jpg,Assigned to Urban Development Authority team.,2025-07-08,New
"Education Issue at Sector 15, Heritage Colony - 511","Complaint regarding education in Sector 15, Heritage Colony.",Education,Education Department,"Illegal encroachments near the playground of Sector 15, Heritage Colony school.","Sector 15, Heritage Colony",Low,None,Assigned to Education Department team.,2025-09-15,In Progress
"Sanitation Issue at Ward 8, Central Zone - 502","Complaint regarding sanitation in Ward 8, Central Zone.",Sanitation,Health & Family Welfare,"Illegal dumping of construction waste in Ward 8, Central Zone.","Ward 8, Central Zone",Low,None,Assigned to Health & Family Welfare team.,2025-09-17,Escalated
"Healthcare Issue at Sector 15, Heritage Colony - 648","Complaint regarding healthcare in Sector 15, Heritage Colony.",Healthcare,Health & Family Welfare,"Emergency ambulance delayed by 20 hours for Sector 15, Heritage Colony.","Sector 15, Heritage Colony",Urgent,None,Assigned to Health & Family Welfare team.,2025-06-09,Resolved
"Healthcare Issue at Sector 10, Heritage Colony - 966","Complaint regarding healthcare in Sector 10, Heritage Colony.",Healthcare,Health & Family Welfare,"Government clinic in Sector 10, Heritage Colony lacks basic medicines.","Sector 10, Heritage Colony",High,evidence_338.jpg,Assigned to Health & Family Welfare team.,2025-10-07,Escalated
"Drainage Issue at Garden City, Phase 4 - 588","Complaint regarding drainage in Garden City, Phase 4.",Drainage,Public Works Department (PWD),"Main drain choked with plastic waste near Garden City, Phase 4.","Garden City, Phase 4",Medium,evidence_339.jpg,Assigned to Public Works Department (PWD) team.,2025-09-10,Resolved
"Healthcare Issue at Garden City, Phase 4 - 513","Complaint regarding healthcare in Garden City, Phase 4.",Healthcare,Municipal Corporation,"Government clinic in Garden City, Phase 4 lacks basic medicines.","Garden City, Phase 4",High,None,Assigned to Municipal Corporation team.,2025-05-23,In Progress
"Water Supply Issue at Sector 14, Heritage Colony - 958","Complaint regarding water supply in Sector 14, Heritage Colony.",Water Supply,Municipal Corporation,"No water supply for the last 24 days in Sector 14, Heritage Colony.","Sector 14, Heritage Colony",Low,None,Assigned to Municipal Corporation team.,2025-09-22,Resolved
"Street Lighting Issue at Sector 11, Heritage Colony - 801","Complaint regarding street lighting in Sector 11, Heritage Colony.",Street Lighting,Municipal Corporation,"New street light poles installed but not connected in Sector 11, Heritage Colony.","Sector 11, Heritage Colony",Low,None,Assigned to Municipal Corporation team.,2025-07-07,Escalated
"Roads & Infrastructure Issue at Sector 16, Heritage Colony - 466","Complaint regarding roads & infrastructure in Sector 16, Heritage Colony.",Roads & Infrastructure,Public Works Department (PWD),"Major potholes on the main road of Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Low,None,Assigned to Public Works Department (PWD) team.,2025-11-18,Resolved
"Roads & Infrastructure Issue at Ward 3, Central Zone - 602","Complaint regarding roads & infrastructure in Ward 3, Central Zone.",Roads & Infrastructure,Public Works Department (PWD),"Illegal speed breaker installed at Ward 3, Central Zone.","Ward 3, Central Zone",Low,None,Assigned to Public Works Department (PWD) team.,2025-06-26,Escalated
"Street Lighting Issue at Garden City, Phase 3 - 667","Complaint regarding street lighting in Garden City, Phase 3.",Street Lighting,Electricity Board,"Dark spots on the road due to non-functional lights in Garden City, Phase 3.","Garden City, Phase 3",Urgent,evidence_345.jpg,Assigned to Electricity Board team.,2026-02-02,In Progress
"Sanitation Issue at Ward 5, Central Zone - 876","Complaint regarding sanitation in Ward 5, Central Zone.",Sanitation,Health & Family Welfare,"Public toilets in Ward 5, Central Zone are extremely dirty and unusable.","Ward 5, Central Zone",Low,None,Assigned to Health & Family Welfare team.,2025-07-18,New
"Street Lighting Issue at Ward 3, Central Zone - 561","Complaint regarding street lighting in Ward 3, Central Zone.",Street Lighting,Electricity Board,"Flickering street light causing disturbance in Ward 3, Central Zone.","Ward 3, Central Zone",Low,evidence_347.jpg,Assigned to Electricity Board team.,2025-11-30,Escalated
"Electricity Issue at Ward 4, Central Zone - 258","Complaint regarding electricity in Ward 4, Central Zone.",Electricity,Urban Development Authority,"High voltage fluctuations causing damage to appliances in Ward 4, Central Zone.","Ward 4, Central Zone",Medium,None,Assigned to Urban Development Authority team.,2025-05-15,Escalated
"Healthcare Issue at Garden City, Phase 2 - 237","Complaint regarding healthcare in Garden City, Phase 2.",Healthcare,Municipal Corporation,"Unsanitary conditions in the ward area of Garden City, Phase 2 hospital.","Garden City, Phase 2",High,None,Assigned to Municipal Corporation team.,2026-02-05,Escalated
"Education Issue at Ward 10, Central Zone - 879","Complaint regarding education in Ward 10, Central Zone.",Education,Urban Development Authority,"Illegal encroachments near the playground of Ward 10, Central Zone school.","Ward 10, Central Zone",Low,None,Assigned to Urban Development Authority team.,2025-10-14,New
"Public Safety Issue at Ward 3, Central Zone - 930","Complaint regarding public safety in Ward 3, Central Zone.",Public Safety,Police Department,"Stray animal menace in the parks of Ward 3, Central Zone.","Ward 3, Central Zone",Low,None,Assigned to Police Department team.,2025-06-09,Escalated
"Roads & Infrastructure Issue at Garden City, Phase 2 - 841","Complaint regarding roads & infrastructure in Garden City, Phase 2.",Roads & Infrastructure,Public Works Department (PWD),"Street pavement broken near Garden City, Phase 2.","Garden City, Phase 2",Urgent,None,Assigned to Public Works Department (PWD) team.,2025-07-26,Resolved
"Electricity Issue at Sector 11, Heritage Colony - 845","Complaint regarding electricity in Sector 11, Heritage Colony.",Electricity,Electricity Board,"High voltage fluctuations causing damage to appliances in Sector 11, Heritage Colony.","Sector 11, Heritage Colony",Urgent,None,Assigned to Electricity Board team.,2025-12-28,New
"Drainage Issue at Ward 10, Central Zone - 430","Complaint regarding drainage in Ward 10, Central Zone.",Drainage,Public Works Department (PWD),"Monsoon preparation for cleaning drains not started in Ward 10, Central Zone.","Ward 10, Central Zone",Medium,evidence_354.jpg,Assigned to Public Works Department (PWD) team.,2025-10-20,Escalated
"Street Lighting Issue at Ward 2, Central Zone - 735","Complaint regarding street lighting in Ward 2, Central Zone.",Street Lighting,Municipal Corporation,"Flickering street light causing disturbance in Ward 2, Central Zone.","Ward 2, Central Zone",Urgent,None,Assigned to Municipal Corporation team.,2025-11-22,Escalated
"Water Supply Issue at Sector 18, Heritage Colony - 951","Complaint regarding water supply in Sector 18, Heritage Colony.",Water Supply,Public Works Department (PWD),"Continuous leakage in the main pipeline near Sector 18, Heritage Colony.","Sector 18, Heritage Colony",Urgent,None,Assigned to Public Works Department (PWD) team.,2025-03-17,In Progress
"Electricity Issue at Garden City, Phase 5 - 114","Complaint regarding electricity in Garden City, Phase 5.",Electricity,Electricity Board,"High voltage fluctuations causing damage to appliances in Garden City, Phase 5.","Garden City, Phase 5",High,evidence_357.jpg,Assigned to Electricity Board team.,2025-11-25,Escalated
"Drainage Issue at Ward 7, Central Zone - 426","Complaint regarding drainage in Ward 7, Central Zone.",Drainage,Public Works Department (PWD),"Main drain choked with plastic waste near Ward 7, Central Zone.","Ward 7, Central Zone",Medium,None,Assigned to Public Works Department (PWD) team.,2025-04-08,In Progress
"Water Supply Issue at Sector 18, Heritage Colony - 209","Complaint regarding water supply in Sector 18, Heritage Colony.",Water Supply,Public Works Department (PWD),"No water supply for the last 8 days in Sector 18, Heritage Colony.","Sector 18, Heritage Colony",High,None,Assigned to Public Works Department (PWD) team.,2025-04-16,New
"Street Lighting Issue at Garden City, Phase 1 - 950","Complaint regarding street lighting in Garden City, Phase 1.",Street Lighting,Electricity Board,"Street lights not working for 38 nights in Garden City, Phase 1.","Garden City, Phase 1",Low,evidence_360.jpg,Assigned to Electricity Board team.,2025-12-04,In Progress
"Education Issue at Garden City, Phase 5 - 705","Complaint regarding education in Garden City, Phase 5.",Education,Urban Development Authority,"Shortage of teaching staff for 4 semesters in Garden City, Phase 5.","Garden City, Phase 5",Urgent,evidence_361.jpg,Assigned to Urban Development Authority team.,2025-04-06,Escalated
"Waste Management Issue at Garden City, Phase 2 - 373","Complaint regarding waste management in Garden City, Phase 2.",Waste Management,Sanitation Department,"Garbage collection truck hasn't visited Garden City, Phase 2 for a week.","Garden City, Phase 2",Medium,None,Assigned to Sanitation Department team.,2026-02-11,New
"Waste Management Issue at Garden City, Phase 1 - 385","Complaint regarding waste management in Garden City, Phase 1.",Waste Management,Municipal Corporation,"Garbage collection truck hasn't visited Garden City, Phase 1 for a week.","Garden City, Phase 1",Medium,None,Assigned to Municipal Corporation team.,2026-01-05,Escalated
"Waste Management Issue at Garden City, Phase 1 - 410","Complaint regarding waste management in Garden City, Phase 1.",Waste Management,Municipal Corporation,"Open garbage bin overflowing and spreading disease in Garden City, Phase 1.","Garden City, Phase 1",Low,evidence_364.jpg,Assigned to Municipal Corporation team.,2025-08-08,In Progress
"Education Issue at Garden City, Phase 1 - 723","Complaint regarding education in Garden City, Phase 1.",Education,Urban Development Authority,"Shortage of teaching staff for 45 semesters in Garden City, Phase 1.","Garden City, Phase 1",Urgent,evidence_365.jpg,Assigned to Urban Development Authority team.,2026-01-09,New
"Electricity Issue at Ward 3, Central Zone - 821","Complaint regarding electricity in Ward 3, Central Zone.",Electricity,Urban Development Authority,"Frequent power cuts without notice in Ward 3, Central Zone.","Ward 3, Central Zone",Medium,None,Assigned to Urban Development Authority team.,2025-06-02,New
"Electricity Issue at Garden City, Phase 4 - 717","Complaint regarding electricity in Garden City, Phase 4.",Electricity,Electricity Board,"Electricity bill incorrectly calculated for Garden City, Phase 4.","Garden City, Phase 4",Urgent,evidence_367.jpg,Assigned to Electricity Board team.,2025-04-14,Resolved
"Public Safety Issue at Ward 6, Central Zone - 216","Complaint regarding public safety in Ward 6, Central Zone.",Public Safety,Municipal Corporation,"Stray animal menace in the parks of Ward 6, Central Zone.","Ward 6, Central Zone",Urgent,evidence_368.jpg,Assigned to Municipal Corporation team.,2025-09-17,Escalated
"Public Safety Issue at Ward 10, Central Zone - 946","Complaint regarding public safety in Ward 10, Central Zone.",Public Safety,Police Department,"Stray animal menace in the parks of Ward 10, Central Zone.","Ward 10, Central Zone",Low,None,Assigned to Police Department team.,2026-02-14,New
"Electricity Issue at Sector 14, Heritage Colony - 619","Complaint regarding electricity in Sector 14, Heritage Colony.",Electricity,Electricity Board,"Street pole spark observed near Sector 14, Heritage Colony.","Sector 14, Heritage Colony",Medium,None,Assigned to Electricity Board team.,2025-08-15,Resolved
"Street Lighting Issue at Ward 8, Central Zone - 705","Complaint regarding street lighting in Ward 8, Central Zone.",Street Lighting,Municipal Corporation,"New street light poles installed but not connected in Ward 8, Central Zone.","Ward 8, Central Zone",Low,None,Assigned to Municipal Corporation team.,2025-10-14,New
"Healthcare Issue at Ward 10, Central Zone - 875","Complaint regarding healthcare in Ward 10, Central Zone.",Healthcare,Municipal Corporation,"Emergency ambulance delayed by 16 hours for Ward 10, Central Zone.","Ward 10, Central Zone",Urgent,None,Assigned to Municipal Corporation team.,2025-04-25,Resolved
"Waste Management Issue at Sector 19, Heritage Colony - 645","Complaint regarding waste management in Sector 19, Heritage Colony.",Waste Management,Municipal Corporation,"Biomedical waste found dumped in the residential area of Sector 19, Heritage Colony.","Sector 19, Heritage Colony",Low,None,Assigned to Municipal Corporation team.,2025-04-04,In Progress
