id,Grievance Title,Detailed Description,Category,Priority Level,Location / Ward No,Department,Status,Date Submitted,Predicted Category,Predicted Priority,Confidence Score,Attachment Name,Internal Notes
SYN-FAAD0A81,"Public Safety Issue at Garden City, Phase 2 - 404","Stray animal menace in the parks of Garden City, Phase 2.",Public Safety,High,"Garden City, Phase 2",Police Department,Escalated,2026-02-21,Public Safety,High,0.9,nan,Assigned to Police Department team.
SYN-E5A4690B,"Electricity Issue at Sector 14, Heritage Colony - 307","Electricity bill incorrectly calculated for Sector 14, Heritage Colony.",Electricity,Low,"Sector 14, Heritage Colony",Electricity Board,In Progress,2025-12-08,Electricity,Low,0.9,nan,Assigned to Electricity Board team.
SYN-4D5AA48F,"Public Safety Issue at Sector 11, Heritage Colony - 441","Lack of police patrolling observed during night in Sector 11, Heritage Colony.",Public Safety,High,"Sector 11, Heritage Colony",Municipal Corporation,In Progress,2025-03-27,Public Safety,High,0.9,evidence_168.jpg,Assigned to Municipal Corporation team.
SYN-6A65DE10,"Street Lighting Issue at Sector 11, Heritage Colony - 616","Flickering street light causing disturbance in Sector 11, Heritage Colony.",Street Lighting,Urgent,"Sector 11, Heritage Colony",Municipal Corporation,In Progress,2025-05-15,Street Lighting,Urgent,0.9,evidence_169.jpg,Assigned to Municipal Corporation team.
SYN-D9BD723C,"Education Issue at Ward 4, Central Zone - 344","School building in Ward 4, Central Zone needs urgent structural repairs.",Education,High,"Ward 4, Central Zone",Urban Development Authority,Resolved,2025-11-02,Education,High,0.9,nan,Assigned to Urban Development Authority team.
SYN-1B671C7E,"Street Lighting Issue at Ward 5, Central Zone - 929","Street lights not working for 40 nights in Ward 5, Central Zone.",Street Lighting,Low,"Ward 5, Central Zone",Municipal Corporation,Resolved,2025-09-04,Street Lighting,Low,0.9,nan,Assigned to Municipal Corporation team.
SYN-8900930B,"Education Issue at Ward 3, Central Zone - 288","Lack of pure drinking water facilities in Ward 3, Central Zone primary school.",Education,High,"Ward 3, Central Zone",Urban Development Authority,Resolved,2026-02-13,Education,High,0.9,nan,Assigned to Urban Development Authority team.
SYN-C80EEFC3,"Education Issue at Sector 14, Heritage Colony - 465","Lack of pure drinking water facilities in Sector 14, Heritage Colony primary school.",Education,High,"Sector 14, Heritage Colony",Urban Development Authority,Resolved,2025-07-30,Education,High,0.9,nan,Assigned to Urban Development Authority team.
SYN-195A17B0,"Roads & Infrastructure Issue at Garden City, Phase 2 - 379","Street pavement broken near Garden City, Phase 2.",Roads & Infrastructure,Urgent,"Garden City, Phase 2",Urban Development Authority,In Progress,2025-11-17,Roads & Infrastructure,Urgent,0.9,nan,Assigned to Urban Development Authority team.
SYN-F147D236,"Sanitation Issue at Garden City, Phase 2 - 549","Sewage overflow reported in the back alley of Garden City, Phase 2.",Sanitation,Medium,"Garden City, Phase 2",Health & Family Welfare,Resolved,2025-07-21,Sanitation,Medium,0.9,nan,Assigned to Health & Family Welfare team.
SYN-31641828,"Public Safety Issue at Sector 17, Heritage Colony - 106","Stray animal menace in the parks of Sector 17, Heritage Colony.",Public Safety,High,"Sector 17, Heritage Colony",Police Department,Escalated,2025-10-26,Public Safety,High,0.9,evidence_176.jpg,Assigned to Police Department team.
SYN-CC484347,"Drainage Issue at Ward 1, Central Zone - 242","Drain cover missing, posing a risk to children in Ward 1, Central Zone.",Drainage,High,"Ward 1, Central Zone",Municipal Corporation,Resolved,2025-04-22,Drainage,High,0.9,nan,Assigned to Municipal Corporation team.
SYN-D02B8106,"Sanitation Issue at Garden City, Phase 2 - 535","Illegal dumping of construction waste in Garden City, Phase 2.",Sanitation,Urgent,"Garden City, Phase 2",Municipal Corporation,New,2025-12-24,Sanitation,Urgent,0.9,evidence_178.jpg,Assigned to Municipal Corporation team.
SYN-59208305,"Healthcare Issue at Sector 15, Heritage Colony - 528","Unsanitary conditions in the ward area of Sector 15, Heritage Colony hospital.",Healthcare,Low,"Sector 15, Heritage Colony",Health & Family Welfare,Escalated,2025-09-20,Healthcare,Low,0.9,nan,Assigned to Health & Family Welfare team.
SYN-021565CC,"Water Supply Issue at Sector 11, Heritage Colony - 218","Continuous leakage in the main pipeline near Sector 11, Heritage Colony.",Water Supply,Urgent,"Sector 11, Heritage Colony",Public Works Department (PWD),Escalated,2025-07-10,Water Supply,Urgent,0.9,nan,Assigned to Public Works Department (PWD) team.
SYN-8655D328,"Public Safety Issue at Sector 19, Heritage Colony - 960","Lack of police patrolling observed during night in Sector 19, Heritage Colony.",Public Safety,Medium,"Sector 19, Heritage Colony",Municipal Corporation,Escalated,2025-03-07,Public Safety,Medium,0.9,nan,Assigned to Municipal Corporation team.
SYN-C27AE69F,"Drainage Issue at Sector 10, Heritage Colony - 731","Main drain choked with plastic waste near Sector 10, Heritage Colony.",Drainage,Medium,"Sector 10, Heritage Colony",Public Works Department (PWD),New,2025-06-11,Drainage,Medium,0.9,evidence_182.jpg,Assigned to Public Works Department (PWD) team.
SYN-2EB39442,"Drainage Issue at Sector 18, Heritage Colony - 562","Main drain choked with plastic waste near Sector 18, Heritage Colony.",Drainage,Medium,"Sector 18, Heritage Colony",Public Works Department (PWD),Escalated,2025-11-20,Drainage,Medium,0.9,evidence_183.jpg,Assigned to Public Works Department (PWD) team.
SYN-94020557,"Drainage Issue at Ward 9, Central Zone - 714","Monsoon preparation for cleaning drains not started in Ward 9, Central Zone.",Drainage,Medium,"Ward 9, Central Zone",Municipal Corporation,In Progress,2025-08-08,Drainage,Medium,0.9,nan,Assigned to Municipal Corporation team.
SYN-827E64A2,"Public Safety Issue at Ward 9, Central Zone - 561","Increase in petty thefts reported in Ward 9, Central Zone after 9 PM.",Public Safety,Medium,"Ward 9, Central Zone",Police Department,Resolved,2025-09-01,Public Safety,Medium,0.9,evidence_185.jpg,Assigned to Police Department team.
SYN-C9A7ECD0,"Electricity Issue at Ward 8, Central Zone - 377","High voltage fluctuations causing damage to appliances in Ward 8, Central Zone.",Electricity,High,"Ward 8, Central Zone",Urban Development Authority,New,2025-06-01,Electricity,High,0.9,nan,Assigned to Urban Development Authority team.
SYN-C6BB3351,"Water Supply Issue at Ward 3, Central Zone - 455","Continuous leakage in the main pipeline near Ward 3, Central Zone.",Water Supply,Urgent,"Ward 3, Central Zone",Public Works Department (PWD),New,2025-11-20,Water Supply,Urgent,0.9,nan,Assigned to Public Works Department (PWD) team.
SYN-CB8F9749,"Roads & Infrastructure Issue at Garden City, Phase 3 - 378","Major potholes on the main road of Garden City, Phase 3.",Roads & Infrastructure,Medium,"Garden City, Phase 3",Urban Development Authority,In Progress,2025-11-26,Roads & Infrastructure,Medium,0.9,evidence_188.jpg,Assigned to Urban Development Authority team.
SYN-8F910093,"Street Lighting Issue at Ward 5, Central Zone - 877","Flickering street light causing disturbance in Ward 5, Central Zone.",Street Lighting,High,"Ward 5, Central Zone",Electricity Board,In Progress,2025-03-09,Street Lighting,High,0.9,nan,Assigned to Electricity Board team.
SYN-74A203DB,"Water Supply Issue at Ward 5, Central Zone - 888","Contaminated water with foul smell reported at Ward 5, Central Zone.",Water Supply,High,"Ward 5, Central Zone",Public Works Department (PWD),In Progress,2025-11-06,Water Supply,High,0.9,evidence_190.jpg,Assigned to Public Works Department (PWD) team.
SYN-109B7E7E,"Roads & Infrastructure Issue at Ward 4, Central Zone - 670","Street pavement broken near Ward 4, Central Zone.",Roads & Infrastructure,Low,"Ward 4, Central Zone",Public Works Department (PWD),Escalated,2025-05-08,Roads & Infrastructure,Low,0.9,evidence_191.jpg,Assigned to Public Works Department (PWD) team.
SYN-3188B37D,"Water Supply Issue at Sector 18, Heritage Colony - 541","No water supply for the last 2 days in Sector 18, Heritage Colony.",Water Supply,High,"Sector 18, Heritage Colony",Public Works Department (PWD),Resolved,2026-01-20,Water Supply,High,0.9,nan,Assigned to Public Works Department (PWD) team.
SYN-43C0C449,"Waste Management Issue at Sector 13, Heritage Colony - 359","Illegal burning of waste in the open area of Sector 13, Heritage Colony.",Waste Management,High,"Sector 13, Heritage Colony",Municipal Corporation,New,2025-09-28,Waste Management,High,0.9,evidence_193.jpg,Assigned to Municipal Corporation team.
SYN-FCB520CC,"Roads & Infrastructure Issue at Ward 10, Central Zone - 997","Street pavement broken near Ward 10, Central Zone.",Roads & Infrastructure,Low,"Ward 10, Central Zone",Urban Development Authority,New,2026-03-01,Roads & Infrastructure,Low,0.9,nan,Assigned to Urban Development Authority team.
SYN-2A51AB4A,"Drainage Issue at Ward 8, Central Zone - 206","Drain cover missing, posing a risk to children in Ward 8, Central Zone.",Drainage,Urgent,"Ward 8, Central Zone",Public Works Department (PWD),New,2025-08-24,Drainage,Urgent,0.9,evidence_195.jpg,Assigned to Public Works Department (PWD) team.
SYN-9252B045,"Education Issue at Garden City, Phase 2 - 447","Illegal encroachments near the playground of Garden City, Phase 2 school.",Education,Medium,"Garden City, Phase 2",Urban Development Authority,Escalated,2025-12-07,Education,Medium,0.9,nan,Assigned to Urban Development Authority team.
SYN-47965F37,"Street Lighting Issue at Sector 18, Heritage Colony - 387","Dark spots on the road due to non-functional lights in Sector 18, Heritage Colony.",Street Lighting,Low,"Sector 18, Heritage Colony",Municipal Corporation,Escalated,2025-11-10,Street Lighting,Low,0.9,evidence_197.jpg,Assigned to Municipal Corporation team.
SYN-38FD3995,"Healthcare Issue at Ward 8, Central Zone - 949","Government clinic in Ward 8, Central Zone lacks basic medicines.",Healthcare,Urgent,"Ward 8, Central Zone",Health & Family Welfare,Resolved,2025-04-19,Healthcare,Urgent,0.9,nan,Assigned to Health & Family Welfare team.
SYN-F22864A5,"Public Safety Issue at Sector 18, Heritage Colony - 794","Stray animal menace in the parks of Sector 18, Heritage Colony.",Public Safety,High,"Sector 18, Heritage Colony",Municipal Corporation,Resolved,2025-07-05,Public Safety,High,0.9,nan,Assigned to Municipal Corporation team.
SYN-04037334,"Water Supply Issue at Ward 3, Central Zone - 591","Continuous leakage in the main pipeline near Ward 3, Central Zone.",Water Supply,Urgent,"Ward 3, Central Zone",Municipal Corporation,Escalated,2026-01-22,Water Supply,Urgent,0.9,nan,Assigned to Municipal Corporation team.
SYN-105C5467,"Water Supply Issue at Ward 4, Central Zone - 715","Continuous leakage in the main pipeline near Ward 4, Central Zone.",Water Supply,High,"Ward 4, Central Zone",Municipal Corporation,Escalated,2025-06-17,Water Supply,High,0.9,evidence_201.jpg,Assigned to Municipal Corporation team.
SYN-BFA70808,"Waste Management Issue at Ward 5, Central Zone - 417","Garbage collection truck hasn't visited Ward 5, Central Zone for a week.",Waste Management,Medium,"Ward 5, Central Zone",Municipal Corporation,New,2025-06-05,Waste Management,Medium,0.9,evidence_202.jpg,Assigned to Municipal Corporation team.
SYN-1435D7D9,"Roads & Infrastructure Issue at Ward 9, Central Zone - 231","Street pavement broken near Ward 9, Central Zone.",Roads & Infrastructure,Urgent,"Ward 9, Central Zone",Urban Development Authority,Resolved,2026-02-24,Roads & Infrastructure,Urgent,0.9,nan,Assigned to Urban Development Authority team.
SYN-27D060A7,"Electricity Issue at Ward 2, Central Zone - 300","Electricity bill incorrectly calculated for Ward 2, Central Zone.",Electricity,Urgent,"Ward 2, Central Zone",Urban Development Authority,In Progress,2026-02-09,Electricity,Urgent,0.9,nan,Assigned to Urban Development Authority team.
SYN-97FAF82B,"Waste Management Issue at Sector 18, Heritage Colony - 600","Illegal burning of waste in the open area of Sector 18, Heritage Colony.",Waste Management,Low,"Sector 18, Heritage Colony",Sanitation Department,New,2026-03-01,Waste Management,Low,0.9,evidence_205.jpg,Assigned to Sanitation Department team.
SYN-22CDB490,"Education Issue at Sector 15, Heritage Colony - 166","Lack of pure drinking water facilities in Sector 15, Heritage Colony primary school.",Education,High,"Sector 15, Heritage Colony",Urban Development Authority,Escalated,2025-03-12,Education,High,0.9,nan,Assigned to Urban Development Authority team.
SYN-EEBE5EF3,"Street Lighting Issue at Sector 15, Heritage Colony - 161","Street lights not working for 11 nights in Sector 15, Heritage Colony.",Street Lighting,Low,"Sector 15, Heritage Colony",Municipal Corporation,Resolved,2025-07-20,Street Lighting,Low,0.9,evidence_207.jpg,Assigned to Municipal Corporation team.
SYN-B6876D55,"Education Issue at Garden City, Phase 3 - 605","Shortage of teaching staff for 9 semesters in Garden City, Phase 3.",Education,Medium,"Garden City, Phase 3",Urban Development Authority,Resolved,2025-08-14,Education,Medium,0.9,nan,Assigned to Urban Development Authority team.
SYN-FD013D14,"Waste Management Issue at Ward 5, Central Zone - 773","Garbage collection truck hasn't visited Ward 5, Central Zone for a week.",Waste Management,Medium,"Ward 5, Central Zone",Municipal Corporation,New,2025-05-14,Waste Management,Medium,0.9,nan,Assigned to Municipal Corporation team.
SYN-EFA740C4,"Drainage Issue at Sector 19, Heritage Colony - 938","Monsoon preparation for cleaning drains not started in Sector 19, Heritage Colony.",Drainage,Medium,"Sector 19, Heritage Colony",Municipal Corporation,Resolved,2025-08-22,Drainage,Medium,0.9,nan,Assigned to Municipal Corporation team.
SYN-F9053E73,"Healthcare Issue at Sector 15, Heritage Colony - 204","Unsanitary conditions in the ward area of Sector 15, Heritage Colony hospital.",Healthcare,Low,"Sector 15, Heritage Colony",Health & Family Welfare,In Progress,2026-01-06,Healthcare,Low,0.9,nan,Assigned to Health & Family Welfare team.
SYN-B0989DB0,"Roads & Infrastructure Issue at Sector 17, Heritage Colony - 483","Illegal speed breaker installed at Sector 17, Heritage Colony.",Roads & Infrastructure,Low,"Sector 17, Heritage Colony",Urban Development Authority,New,2025-07-22,Roads & Infrastructure,Low,0.9,nan,Assigned to Urban Development Authority team.
SYN-DA48966C,"Roads & Infrastructure Issue at Garden City, Phase 5 - 283","Road construction halted for 45 months in Garden City, Phase 5.",Roads & Infrastructure,Medium,"Garden City, Phase 5",Urban Development Authority,Resolved,2025-05-15,Roads & Infrastructure,Medium,0.9,nan,Assigned to Urban Development Authority team.
SYN-95D40152,"Waste Management Issue at Garden City, Phase 1 - 858","Garbage collection truck hasn't visited Garden City, Phase 1 for a week.",Waste Management,Urgent,"Garden City, Phase 1",Municipal Corporation,Resolved,2025-04-24,Waste Management,Urgent,0.9,evidence_214.jpg,Assigned to Municipal Corporation team.
SYN-586244E4,"Electricity Issue at Ward 7, Central Zone - 958","Street pole spark observed near Ward 7, Central Zone.",Electricity,Urgent,"Ward 7, Central Zone",Electricity Board,In Progress,2026-01-04,Electricity,Urgent,0.9,nan,Assigned to Electricity Board team.
SYN-FA197EF2,"Electricity Issue at Garden City, Phase 5 - 276","Electricity bill incorrectly calculated for Garden City, Phase 5.",Electricity,High,"Garden City, Phase 5",Electricity Board,Escalated,2025-05-19,Electricity,High,0.9,nan,Assigned to Electricity Board team.
SYN-ED69FF1B,"Street Lighting Issue at Garden City, Phase 2 - 235","Street lights not working for 57 nights in Garden City, Phase 2.",Street Lighting,Urgent,"Garden City, Phase 2",Municipal Corporation,Resolved,2025-06-08,Street Lighting,Urgent,0.9,evidence_217.jpg,Assigned to Municipal Corporation team.
SYN-F24A6F45,"Water Supply Issue at Sector 11, Heritage Colony - 464","No water supply for the last 12 days in Sector 11, Heritage Colony.",Water Supply,Medium,"Sector 11, Heritage Colony",Public Works Department (PWD),New,2025-09-09,Water Supply,Medium,0.9,nan,Assigned to Public Works Department (PWD) team.
SYN-2F135317,"Sanitation Issue at Ward 10, Central Zone - 556","Drainage blockage causing water logging in Ward 10, Central Zone.",Sanitation,Low,"Ward 10, Central Zone",Health & Family Welfare,In Progress,2025-08-07,Sanitation,Low,0.9,nan,Assigned to Health & Family Welfare team.
SYN-9A0EF079,"Roads & Infrastructure Issue at Sector 18, Heritage Colony - 458","Illegal speed breaker installed at Sector 18, Heritage Colony.",Roads & Infrastructure,Urgent,"Sector 18, Heritage Colony",Urban Development Authority,In Progress,2025-09-19,Roads & Infrastructure,Urgent,0.9,nan,Assigned to Urban Development Authority team.
SYN-5B343092,"Education Issue at Ward 1, Central Zone - 779","Lack of pure drinking water facilities in Ward 1, Central Zone primary school.",Education,Urgent,"Ward 1, Central Zone",Urban Development Authority,New,2025-10-04,Education,Urgent,0.9,evidence_221.jpg,Assigned to Urban Development Authority team.
SYN-F153CEBB,"Waste Management Issue at Garden City, Phase 4 - 924","Garbage collection truck hasn't visited Garden City, Phase 4 for a week.",Waste Management,Low,"Garden City, Phase 4",Municipal Corporation,Escalated,2025-08-20,Waste Management,Low,0.9,nan,Assigned to Municipal Corporation team.
SYN-4A420551,"Street Lighting Issue at Garden City, Phase 5 - 150","Flickering street light causing disturbance in Garden City, Phase 5.",Street Lighting,Low,"Garden City, Phase 5",Electricity Board,Escalated,2025-09-22,Street Lighting,Low,0.9,nan,Assigned to Electricity Board team.
SYN-2DBF82F7,"Water Supply Issue at Ward 3, Central Zone - 430","Contaminated water with foul smell reported at Ward 3, Central Zone.",Water Supply,High,"Ward 3, Central Zone",Public Works Department (PWD),Resolved,2025-12-05,Water Supply,High,0.9,nan,Assigned to Public Works Department (PWD) team.
SYN-C0008791,"Education Issue at Sector 13, Heritage Colony - 291","Shortage of teaching staff for 52 semesters in Sector 13, Heritage Colony.",Education,Medium,"Sector 13, Heritage Colony",Urban Development Authority,In Progress,2025-07-04,Education,Medium,0.9,evidence_225.jpg,Assigned to Urban Development Authority team.
SYN-335C0159,"Roads & Infrastructure Issue at Garden City, Phase 1 - 341","Road construction halted for 58 months in Garden City, Phase 1.",Roads & Infrastructure,Urgent,"Garden City, Phase 1",Urban Development Authority,In Progress,2025-11-01,Roads & Infrastructure,Urgent,0.9,nan,Assigned to Urban Development Authority team.
SYN-B283F579,"Drainage Issue at Ward 7, Central Zone - 974","Main drain choked with plastic waste near Ward 7, Central Zone.",Drainage,High,"Ward 7, Central Zone",Municipal Corporation,In Progress,2025-11-04,Drainage,High,0.9,nan,Assigned to Municipal Corporation team.
SYN-0FD61DC7,"Street Lighting Issue at Sector 18, Heritage Colony - 678","Street lights not working for 33 nights in Sector 18, Heritage Colony.",Street Lighting,Medium,"Sector 18, Heritage Colony",Electricity Board,Escalated,2025-08-14,Street Lighting,Medium,0.9,evidence_228.jpg,Assigned to Electricity Board team.
SYN-9E7B57B7,"Healthcare Issue at Ward 4, Central Zone - 797","Unsanitary conditions in the ward area of Ward 4, Central Zone hospital.",Healthcare,Low,"Ward 4, Central Zone",Health & Family Welfare,Escalated,2025-03-26,Healthcare,Low,0.9,nan,Assigned to Health & Family Welfare team.
SYN-367A6E94,"Roads & Infrastructure Issue at Sector 10, Heritage Colony - 830","Street pavement broken near Sector 10, Heritage Colony.",Roads & Infrastructure,Low,"Sector 10, Heritage Colony",Public Works Department (PWD),In Progress,2025-04-24,Roads & Infrastructure,Low,0.9,nan,Assigned to Public Works Department (PWD) team.
SYN-73306EF4,"Drainage Issue at Sector 13, Heritage Colony - 415","Main drain choked with plastic waste near Sector 13, Heritage Colony.",Drainage,Urgent,"Sector 13, Heritage Colony",Municipal Corporation,Escalated,2025-05-01,Drainage,Urgent,0.9,nan,Assigned to Municipal Corporation team.
SYN-6C8E463F,"Drainage Issue at Sector 15, Heritage Colony - 750","Stinking smell from the open drain in Sector 15, Heritage Colony.",Drainage,Urgent,"Sector 15, Heritage Colony",Municipal Corporation,Escalated,2025-09-16,Drainage,Urgent,0.9,nan,Assigned to Municipal Corporation team.
SYN-29C2E27F,"Water Supply Issue at Ward 2, Central Zone - 210","Low pressure water being received at Ward 2, Central Zone.",Water Supply,Low,"Ward 2, Central Zone",Municipal Corporation,Resolved,2025-09-04,Water Supply,Low,0.9,nan,Assigned to Municipal Corporation team.
SYN-9ECA4AA9,"Healthcare Issue at Ward 2, Central Zone - 899","Long waiting hours and no doctors available in Ward 2, Central Zone PHC.",Healthcare,Low,"Ward 2, Central Zone",Health & Family Welfare,In Progress,2025-03-26,Healthcare,Low,0.9,nan,Assigned to Health & Family Welfare team.
SYN-9E5AC04E,"Electricity Issue at Sector 10, Heritage Colony - 846","Frequent power cuts without notice in Sector 10, Heritage Colony.",Electricity,High,"Sector 10, Heritage Colony",Urban Development Authority,In Progress,2025-05-26,Electricity,High,0.9,nan,Assigned to Urban Development Authority team.
SYN-E6FF4AF7,"Public Safety Issue at Ward 6, Central Zone - 521","Increase in petty thefts reported in Ward 6, Central Zone after 9 PM.",Public Safety,High,"Ward 6, Central Zone",Police Department,Escalated,2026-02-08,Public Safety,High,0.9,nan,Assigned to Police Department team.
SYN-32A9923E,"Public Safety Issue at Ward 6, Central Zone - 560","Stray animal menace in the parks of Ward 6, Central Zone.",Public Safety,High,"Ward 6, Central Zone",Municipal Corporation,Escalated,2025-04-22,Public Safety,High,0.9,nan,Assigned to Municipal Corporation team.
SYN-501399A1,"Roads & Infrastructure Issue at Garden City, Phase 4 - 309","Street pavement broken near Garden City, Phase 4.",Roads & Infrastructure,Low,"Garden City, Phase 4",Public Works Department (PWD),In Progress,2025-09-26,Roads & Infrastructure,Low,0.9,nan,Assigned to Public Works Department (PWD) team.
SYN-6DD81E4F,"Water Supply Issue at Garden City, Phase 2 - 856","No water supply for the last 8 days in Garden City, Phase 2.",Water Supply,Urgent,"Garden City, Phase 2",Municipal Corporation,In Progress,2026-02-07,Water Supply,Urgent,0.9,nan,Assigned to Municipal Corporation team.
SYN-9C21C230,"Healthcare Issue at Sector 11, Heritage Colony - 199","Emergency ambulance delayed by 20 hours for Sector 11, Heritage Colony.",Healthcare,Low,"Sector 11, Heritage Colony",Municipal Corporation,New,2026-02-27,Healthcare,Low,0.9,nan,Assigned to Municipal Corporation team.
SYN-88FAD6E8,"Education Issue at Ward 4, Central Zone - 646","Shortage of teaching staff for 51 semesters in Ward 4, Central Zone.",Education,Low,"Ward 4, Central Zone",Education Department,In Progress,2025-12-23,Education,Low,0.9,nan,Assigned to Education Department team.
SYN-171D9484,"Education Issue at Sector 19, Heritage Colony - 103","School building in Sector 19, Heritage Colony needs urgent structural repairs.",Education,Medium,"Sector 19, Heritage Colony",Urban Development Authority,In Progress,2025-03-13,Education,Medium,0.9,nan,Assigned to Urban Development Authority team.
SYN-D3620E82,"Education Issue at Garden City, Phase 5 - 789","School building in Garden City, Phase 5 needs urgent structural repairs.",Education,Urgent,"Garden City, Phase 5",Urban Development Authority,Resolved,2025-04-09,Education,Urgent,0.9,nan,Assigned to Urban Development Authority team.
SYN-66F7ED77,"Electricity Issue at Sector 15, Heritage Colony - 347","High voltage fluctuations causing damage to appliances in Sector 15, Heritage Colony.",Electricity,High,"Sector 15, Heritage Colony",Urban Development Authority,Resolved,2025-06-30,Electricity,High,0.9,evidence_244.jpg,Assigned to Urban Development Authority team.
SYN-1D9C1C51,"Drainage Issue at Sector 10, Heritage Colony - 943","Monsoon preparation for cleaning drains not started in Sector 10, Heritage Colony.",Drainage,High,"Sector 10, Heritage Colony",Public Works Department (PWD),New,2026-02-16,Drainage,High,0.9,nan,Assigned to Public Works Department (PWD) team.
SYN-0B4161C1,"Public Safety Issue at Garden City, Phase 1 - 761","Illegal parking blocking emergency exits in Garden City, Phase 1.",Public Safety,Low,"Garden City, Phase 1",Police Department,Resolved,2025-12-14,Public Safety,Low,0.9,evidence_246.jpg,Assigned to Police Department team.
SYN-FDF30016,"Waste Management Issue at Sector 14, Heritage Colony - 502","Biomedical waste found dumped in the residential area of Sector 14, Heritage Colony.",Waste Management,Low,"Sector 14, Heritage Colony",Sanitation Department,Escalated,2025-10-01,Waste Management,Low,0.9,evidence_247.jpg,Assigned to Sanitation Department team.
SYN-32065766,"Electricity Issue at Garden City, Phase 4 - 479","Electricity bill incorrectly calculated for Garden City, Phase 4.",Electricity,Medium,"Garden City, Phase 4",Urban Development Authority,Resolved,2025-03-19,Electricity,Medium,0.9,nan,Assigned to Urban Development Authority team.
SYN-D2D93ED7,"Water Supply Issue at Garden City, Phase 1 - 221","Continuous leakage in the main pipeline near Garden City, Phase 1.",Water Supply,Low,"Garden City, Phase 1",Municipal Corporation,In Progress,2025-09-14,Water Supply,Low,0.9,nan,Assigned to Municipal Corporation team.
SYN-716B82F2,"Street Lighting Issue at Ward 6, Central Zone - 524","Street lights not working for 16 nights in Ward 6, Central Zone.",Street Lighting,Medium,"Ward 6, Central Zone",Municipal Corporation,Resolved,2026-01-13,Street Lighting,Medium,0.9,nan,Assigned to Municipal Corporation team.
SYN-1C15365F,"Healthcare Issue at Sector 13, Heritage Colony - 279","Emergency ambulance delayed by 26 hours for Sector 13, Heritage Colony.",Healthcare,High,"Sector 13, Heritage Colony",Municipal Corporation,Escalated,2025-10-09,Healthcare,High,0.9,nan,Assigned to Municipal Corporation team.
SYN-ACB147C6,"Sanitation Issue at Ward 3, Central Zone - 536","Illegal dumping of construction waste in Ward 3, Central Zone.",Sanitation,High,"Ward 3, Central Zone",Health & Family Welfare,In Progress,2025-04-22,Sanitation,High,0.9,nan,Assigned to Health & Family Welfare team.
SYN-AC533C74,"Public Safety Issue at Ward 5, Central Zone - 129","Illegal parking blocking emergency exits in Ward 5, Central Zone.",Public Safety,High,"Ward 5, Central Zone",Municipal Corporation,Escalated,2025-11-21,Public Safety,High,0.9,nan,Assigned to Municipal Corporation team.
SYN-821C4739,"Street Lighting Issue at Sector 11, Heritage Colony - 444","New street light poles installed but not connected in Sector 11, Heritage Colony.",Street Lighting,Low,"Sector 11, Heritage Colony",Municipal Corporation,Escalated,2025-10-04,Street Lighting,Low,0.9,evidence_254.jpg,Assigned to Municipal Corporation team.
SYN-F54A94D9,"Electricity Issue at Ward 1, Central Zone - 355","Electricity bill incorrectly calculated for Ward 1, Central Zone.",Electricity,Medium,"Ward 1, Central Zone",Urban Development Authority,In Progress,2025-11-11,Electricity,Medium,0.9,nan,Assigned to Urban Development Authority team.
SYN-8031630A,"Electricity Issue at Ward 2, Central Zone - 572","Street pole spark observed near Ward 2, Central Zone.",Electricity,Urgent,"Ward 2, Central Zone",Urban Development Authority,New,2025-06-27,Electricity,Urgent,0.9,nan,Assigned to Urban Development Authority team.
SYN-D6815AC1,"Roads & Infrastructure Issue at Garden City, Phase 3 - 235","Road construction halted for 32 months in Garden City, Phase 3.",Roads & Infrastructure,Medium,"Garden City, Phase 3",Urban Development Authority,Escalated,2025-04-12,Roads & Infrastructure,Medium,0.9,nan,Assigned to Urban Development Authority team.
SYN-0E99FEC1,"Sanitation Issue at Sector 15, Heritage Colony - 243","Sewage overflow reported in the back alley of Sector 15, Heritage Colony.",Sanitation,Medium,"Sector 15, Heritage Colony",Municipal Corporation,Escalated,2026-02-09,Sanitation,Medium,0.9,evidence_258.jpg,Assigned to Municipal Corporation team.
SYN-BC4183AD,"Water Supply Issue at Ward 2, Central Zone - 261","Continuous leakage in the main pipeline near Ward 2, Central Zone.",Water Supply,Medium,"Ward 2, Central Zone",Municipal Corporation,In Progress,2025-08-19,Water Supply,Medium,0.9,nan,Assigned to Municipal Corporation team.
SYN-79625FE1,"Sanitation Issue at Sector 13, Heritage Colony - 615","Sewage overflow reported in the back alley of Sector 13, Heritage Colony.",Sanitation,High,"Sector 13, Heritage Colony",Municipal Corporation,New,2025-09-24,Sanitation,High,0.9,nan,Assigned to Municipal Corporation team.
SYN-B797CF9E,"Electricity Issue at Sector 11, Heritage Colony - 142","Frequent power cuts without notice in Sector 11, Heritage Colony.",Electricity,Medium,"Sector 11, Heritage Colony",Urban Development Authority,Resolved,2025-03-04,Electricity,Medium,0.9,nan,Assigned to Urban Development Authority team.
SYN-614AECB6,"Electricity Issue at Ward 9, Central Zone - 494","Frequent power cuts without notice in Ward 9, Central Zone.",Electricity,Medium,"Ward 9, Central Zone",Urban Development Authority,Escalated,2026-01-15,Electricity,Medium,0.9,nan,Assigned to Urban Development Authority team.
